"","airline","Date","CurrDate","n_day","wk_day","ch_price"
"2538","Delta","01/03/2019","2018-12-01",33,"Saturday",291.4
"3821","JetBlue Airways","01/03/2019","2018-11-18",46,"Sunday",281.2
"3822","JetBlue Airways","01/03/2019","2018-11-19",45,"Monday",246.2
"3823","JetBlue Airways","01/03/2019","2018-11-20",44,"Tuesday",246.2
"3824","JetBlue Airways","01/03/2019","2018-11-21",43,"Wednesday",281.2
"3825","JetBlue Airways","01/03/2019","2018-11-22",42,"Thursday",281.2
"3826","JetBlue Airways","01/03/2019","2018-11-23",41,"Friday",281.2
"3827","JetBlue Airways","01/03/2019","2018-11-25",39,"Sunday",346.4
"3828","JetBlue Airways","01/03/2019","2018-11-26",38,"Monday",346.4
"3829","JetBlue Airways","01/03/2019","2018-11-27",37,"Tuesday",281.2
"3830","JetBlue Airways","01/03/2019","2018-11-28",36,"Wednesday",346.4
"3831","JetBlue Airways","01/03/2019","2018-11-29",35,"Thursday",346.4
"3832","JetBlue Airways","01/03/2019","2018-11-30",34,"Friday",346.4
"3833","JetBlue Airways","01/03/2019","2018-12-01",33,"Saturday",281.2
"5102","Spirit Airlines","01/03/2019","2018-11-18",46,"Sunday",204.88
"5103","Spirit Airlines","01/03/2019","2018-11-19",45,"Monday",204.88
"5104","Spirit Airlines","01/03/2019","2018-11-20",44,"Tuesday",204.88
"5105","Spirit Airlines","01/03/2019","2018-11-21",43,"Wednesday",246.88
"5106","Spirit Airlines","01/03/2019","2018-11-23",41,"Friday",276.87
"5107","Spirit Airlines","01/03/2019","2018-11-25",39,"Sunday",204.88
"5108","Spirit Airlines","01/03/2019","2018-11-26",38,"Monday",204.88
"5109","Spirit Airlines","01/03/2019","2018-11-27",37,"Tuesday",236.87
"5110","Spirit Airlines","01/03/2019","2018-11-28",36,"Wednesday",266.86
"5111","Spirit Airlines","01/03/2019","2018-11-29",35,"Thursday",276.88
"5112","Spirit Airlines","01/03/2019","2018-11-30",34,"Friday",337.87
"5113","Spirit Airlines","01/03/2019","2018-12-01",33,"Saturday",276.87
"5892","Sun Country Airlines","01/03/2019","2018-11-18",46,"Sunday",203.4
"5893","Sun Country Airlines","01/03/2019","2018-11-19",45,"Monday",203.4
"5894","Sun Country Airlines","01/03/2019","2018-11-20",44,"Tuesday",203.4
